Column_0	Column_1	Column_2	Column_3	Column_4	Column_5	Column_6	Column_7	Column_8	Column_9	Column_10	Column_11	Column_12	Column_13	Column_14
53	0	645849.0	2301.0	529258.0	9452.0	14572.0	40	24	407	24	4	0		0
54	0	115200.0	0.0	1094400.0	90585.0	95311.0	12	63	10	63	4	0		0
55	0	598018.0	-1969.0	665698.0	9641.0	12497.0	64	13	10	13	4	0		0
56	0	594410.0	6025.0	662270.0	3151.0	5120.0	65	66	10	66	4	0		0
57	0	671928.0	0.0	1044710.0	11028.0	21662.0	67	66	10	66	4	0		0
58	0	711814.0	0.0	734825.0	15360.0	48837.0	29	37	499	37	4	0		0
59	0	171183.0	-7285.0	1114234.0	5908.0	8341.0	68	27	10	27	4	0		0
60	0	162901.0	-8437.0	1115278.0	5393.0	8345.0	69	13	10	13	4	0		0
61	0	670740.0	6341.0	614555.0	3771.0	5554.0	70	71	10	71	4	0		0
62	0	724065.0	0.0	504713.0	9601.0	15360.0	59	13	457	13	4	0		0
63	0	757837.0	6903.0	628974.0	7877.0	10634.0	72	52	10	52	4	0		0
64	0	710172.0	0.0	1009426.0	5762.0	9058.0	21	45	454	45	4	0		0
65	0	737462.0	1703.0	1009584.0	4436.0	8271.0	21	45	454	45	4	0		0
66	0	722481.0	997.0	1003218.0	3151.0	7483.0	21	22	454	22	4	0		0
67	0	728977.0	-241.0	1041188.0	6302.0	11422.0	21	22	454	22	4	0		0
68	0	730223.0	0.0	977210.0	5514.0	8665.0	16	22	496	22	4	0		0
69	0	716560.0	5441.0	1018703.0	1575.0	2757.0	74	15	74	15	4	0		0
70	0	1180800.0	0.0	1180800.0	23237.0	33871.0	75	15	10	15	4	0		0
71	0	698894.0	4051.0	994085.0	2253.0	3581.0	76	22	465	22	4	0		0
72	0	673570.0	7565.0	858452.0	13785.0	20376.0	77	78	471	78	4	0		0
73	0	644315.0	8437.0	857552.0	12209.0	18221.0	77	24	471	24	4	0		0
74	0	685555.0	12694.0	877531.0	1611.0	3545.0	77	24	471	24	4	0		0
75	0	690783.0	10071.0	842809.0	2757.0	4726.0	77	24	471	24	4	0		0
76	0	650451.0	14574.0	874427.0	7089.0	11028.0	77	24	471	24	4	0		0
77	0	593586.0	0.0	931236.0	15043.0	17814.0	79	24	578	24	3	0		0
78	0	679959.0	4281.0	888284.0	8665.0	12209.0	23	13	456	13	4	0		0
79	0	764679.0	4231.0	493268.0	4472.0	5372.0	80	24	10	24	3	0		0
80	0	790075.0	3705.0	491014.0	8665.0	9846.0	81	13	10	13	4	0		0
81	0	747840.0	3079.0	561222.0	4502.0	7706.0	82	37	444	37	4	0		0
82	509	0.0	0.0	0.0	0.0	0.0	394	391	8	11	3	0		0
83	469	0.0	0.0	0.0	0.0	0.0	85	86	10	11	5	0		0
84	269	0.0	0.0	0.0	0.0	0.0	87	88	10	11	4	0		0
85	269	358975.0	0.0	681600.0	19200.0	28800.0	89	90	89	90	4	0		0
86	269	586091.0	-1609.0	533861.0	15830.0	52775.0	91	92	91	92	4	0		0
87	269	598292.0	0.0	500111.0	14572.0	16542.0	93	94	10	11	4	0		0
88	269	573113.0	1163.0	507341.0	13238.0	14966.0	93	94	10	11	4	0		0
89	269	555446.0	0.0	514004.0	12031.0	13854.0	93	94	10	11	4	0		0
90	269	538441.0	0.0	528000.0	11445.0	13785.0	93	94	10	11	4	0		0
91	269	544563.0	0.0	550340.0	11059.0	13467.0	93	94	10	11	4	0		0
92	269	571529.0	0.0	569001.0	19298.0	21662.0	93	94	10	11	4	0		0
93	269	607785.0	0.0	573149.0	17723.0	20086.0	93	94	10	11	4	0		0
94	269	624529.0	0.0	552270.0	13461.0	15754.0	93	94	10	11	4	0		0
95	269	627440.0	0.0	524656.0	14966.0	17329.0	93	94	10	11	4	0		0
96	269	613633.0	0.0	513918.0	14178.0	16935.0	93	95	10	11	4	0		0
97	36	0.0	0.0	0.0	0.0	0.0	96	97	10	11	4	0		0
98	36	557760.0	0.0	966720.0	23040.0	28800.0	98	99	10	11	4	0		0
99	36	633600.0	0.0	623232.0	50688.0	64512.0	100	101	10	11	4	0		0
179	429	0.0	0.0	0.0	0.0	0.0	175	176	10	11	4	0		0
180	429	643357.0	0.0	980805.0	6765.0	7701.0	177	178	10	11	4	0		0
181	429	-21633.0	0.0	-27989.0	10151.0	13391.0	179	180	10	11	3	0		0
182	429	-9005.0	0.0	-13879.0	6302.0	6302.0	181	176	10	11	4	0		0
183	429	253.0	0.0	-14012.0	4940.0	6515.0	181	176	10	11	4	0		0
184	429	-12799.0	0.0	-539.0	7123.0	8415.0	182	183	10	11	4	0		0
185	429	-28709.0	0.0	1289.0	7343.0	7735.0	184	183	10	11	4	0		0
186	429	16378.0	-1897.0	-10841.0	6191.0	6740.0	185	186	10	11	4	0		0
187	169	610565.0	0.0	501645.0	25994.0	39778.0	187	188	10	11	4	0		0
188	169	681133.0	-3835.0	699542.0	31902.0	41354.0	189	188	10	11	4	0		0
189	169	547200.0	0.0	566400.0	55138.0	72074.0	190	188	10	11	4	0		0
190	169	499200.0	0.0	748800.0	40960.0	51594.0	191	188	10	11	4	0		0
191	1	0.0	0.0	0.0	0.0	0.0	192	193	10	193	3	0		0
192	1	629766.0	9971.0	524656.0	17723.0	29538.0	194	195	492	195	4	0		0
193	1	701018.0	0.0	610025.0	21268.0	46334.0	196	197	477	197	3	0		0
194	1	558384.0	875.0	673030.0	25994.0	32435.0	198	199	478	199	3	0		0
195	1	773178.0	0.0	923518.0	63015.0	72468.0	200	201	420	201	2	0		0
196	1	725621.0	9972.0	329828.0	33477.0	44505.0	202	203	482	203	4	0		0
197	1	579883.0	0.0	428009.0	42535.0	54351.0	204	193	426	193	4	0		0
198	1	751680.0	-5760.0	744960.0	40566.0	54720.0	205	206	495	206	4	0		0
199	1	609989.0	-5851.0	350829.0	27175.0	44111.0	204	207	426	207	4	0		0
200	1	567744.0	18816.0	244416.0	56448.0	75264.0	208	209	453	209	4	0		0
201	1	627456.0	0.0	658176.0	24812.0	40704.0	210	201	449	201	3	0		0
202	1	636672.0	1536.0	712704.0	26015.0	38400.0	210	211	449	211	3	0		0
203	1	803859.0	0.0	633576.0	40172.0	63015.0	212	201	451	201	4	0		0
204	1	788880.0	0.0	572119.0	36833.0	55680.0	212	213	451	11	4	0		0
205	1	736684.0	0.0	663948.0	16148.0	31508.0	214	215	477	215	3	0		0
206	1	694939.0	0.0	688803.0	20874.0	34186.0	214	215	477	215	3	0		0
207	1	683229.0	2301.0	736360.0	12025.0	20874.0	214	195	477	195	3	0		0
208	1	666620.0	-2985.0	532327.0	23631.0	40960.0	194	195	492	195	4	0		0
209	1	705678.0	0.0	526190.0	33083.0	50018.0	194	216	492	216	4	0		0
210	1	741992.0	0.0	489372.0	11379.0	26782.0	194	216	492	216	4	0		0
211	1	654765.0	0.0	780726.0	16542.0	22127.0	217	216	484	216	3	0		0
212	1	671820.0	0.0	794547.0	16296.0	17329.0	217	203	484	203	3	0		0
213	1	725621.0	0.0	814598.0	9846.0	18117.0	217	203	484	203	3	0		0
214	1	655053.0	6903.0	460225.0	17329.0	34265.0	218	203	480	203	4	0		0
215	1	636644.0	12334.0	421873.0	13391.0	22843.0	218	219	480	219	4	0		0
216	1	668860.0	11096.0	391191.0	25994.0	34265.0	218	219	480	219	4	0		0
217	1	610565.0	0.0	783916.0	21662.0	37415.0	220	221	425	221	4	0		0
218	1	731965.0	767.0	551348.0	8273.0	13001.0	222	223	222	223	4	0		0
219	1	525722.0	42187.0	255638.0	13215.0	17365.0	224	225	453	225	3	0		0
220	1	656573.0	0.0	724087.0	8665.0	12997.0	226	223	450	223	3	0		0
221	1	727155.0	0.0	576815.0	5120.0	9099.0	227	228	10	228	3	0		0
222	1	573775.0	0.0	799257.0	23298.0	33871.0	220	221	425	221	4	0		0
223	1	693405.0	7789.0	602930.0	4726.0	8300.0	229	219	10	219	3	0		0
224	1	635794.0	0.0	617025.0	10634.0	23063.0	230	207	483	207	4	0		0
225	1	619445.0	0.0	573711.0	18905.0	25600.0	232	213	483	213	4	0		0
226	1	556872.0	0.0	584485.0	11815.0	23631.0	232	233	483	233	4	0		0
227	1	581403.0	-169.0	555410.0	15754.0	21662.0	234	235	483	235	4	0		0
228	1	567754.0	0.0	521588.0	17219.0	23914.0	236	237	483	237	4	0		0
229	1	550736.0	0.0	485138.0	18551.0	36628.0	238	193	492	193	4	0		0
230	1	754769.0	0.0	837609.0	14966.0	31902.0	239	240	485	240	2	0		0
231	1	707882.0	0.0	746054.0	5408.0	10240.0	205	207	495	207	4	0		0
232	1	633346.0	11124.0	439468.0	3722.0	5258.0	241	242	480	242	4	0		0
233	1	628974.0	13954.0	440916.0	2939.0	4726.0	243	203	480	203	4	0		0
234	1	665792.0	2301.0	711814.0	3938.0	5514.0	210	244	449	244	3	0		0
235	1	719031.0	6903.0	558406.0	5730.0	6482.0	222	223	222	223	4	0		0
236	1	686801.0	767.0	802073.0	14178.0	18013.0	217	211	484	211	3	0		0
237	1	707212.0	0.0	811530.0	16874.0	19161.0	217	245	484	245	3	0		0
238	1	857948.0	0.0	486556.0	53957.0	70105.0	246	207	458	207	4	0		0
239	1	770109.0	0.0	545867.0	16542.0	18117.0	247	215	452	215	4	0		0
240	1	512860.0	0.0	793121.0	27963.0	39385.0	248	207	425	207	4	0		0
241	1	535395.0	-9972.0	730223.0	24812.0	31508.0	249	219	425	219	4	0		0
242	1	808461.0	0.0	851416.0	19404.0	28751.0	200	219	420	219	2	0		0
243	1	724087.0	0.0	879029.0	14178.0	21268.0	200	250	420	250	2	0		0
244	1	712664.0	0.0	846669.0	16935.0	20874.0	200	251	420	251	2	0		0
245	1	708746.0	0.0	932722.0	14966.0	25600.0	200	201	420	201	2	0		0
246	1	564542.0	0.0	635110.0	20480.0	38597.0	198	199	478	199	3	0		0
247	1	790052.0	0.0	505131.0	33659.0	41000.0	246	207	458	207	4	0		0
248	1	661982.0	-2301.0	878727.0	35446.0	45195.0	252	207	411	207	4	0		0
249	1	578047.0	0.0	874427.0	34265.0	46055.0	253	207	408	207	3	0		0
250	1	489372.0	0.0	836075.0	32295.0	48049.0	254	207	425	207	4	0		0
251	1	780848.0	0.0	908177.0	7483.0	11422.0	255	206	420	206	4	0		0
252	1	724483.0	0.0	920953.0	1287.0	2719.0	200	250	420	250	2	0		0
253	1	777326.0	0.0	752636.0	10634.0	16794.0	256	257	495	257	4	0		0
254	1	604500.0	4375.0	533357.0	6119.0	9092.0	258	259	492	259	4	0		0
255	1	664114.0	-9972.0	857494.0	16148.0	28357.0	419	251	417	251	4	0		0
256	1	687233.0	-9972.0	889206.0	8878.0	17255.0	252	207	411	207	4	0		0
257	1	648831.0	-9972.0	892836.0	9158.0	16542.0	252	207	411	207	4	0		0
258	1	555937.5	1769.1336669921875	919140.125	11981.43359375	29501.494140625	253	261	408	261	3	0		0
259	1	763973.0	17642.0	354373.0	44505.0	49625.0	262	263	424	263	2	0		0
260	1	728689.0	20710.0	385091.0	25600.0	33871.0	262	264	424	264	2	0		0
261	1	786984.0	26212.0	407814.0	22449.0	27569.0	262	257	424	257	2	0		0
262	1	703964.0	36051.0	453108.0	11890.0	14966.0	265	257	481	257	4	0		0
263	1	678447.0	45255.0	430465.0	7015.0	8667.0	265	259	481	259	4	0		0
264	1	762439.0	19176.0	331362.0	16148.0	20874.0	262	266	424	266	2	0		0
265	1	720011.0	53300.0	417918.0	13391.0	16542.0	267	219	481	219	4	0		0
266	1	708976.0	51392.0	415700.0	6302.0	9058.0	267	219	481	219	4	0		0
267	1	495509.0	0.0	750166.0	11815.0	15360.0	248	207	425	207	4	0		0
268	1	546947.0	0.0	754921.0	9601.0	14572.0	249	219	425	219	4	0		0
269	1	596758.0	-3835.0	277669.0	28357.0	43717.0	268	213	453	213	4	0		0
270	1	775000.0	31449.0	447484.0	11858.0	16866.0	269	213	269	213	2	0		0
271	1	27613.0	-14574.0	29148.0	22449.0	31114.0	270	213	10	11	4	0		0
272	1	765175.0	36051.0	457854.0	10634.0	12965.0	269	271	269	271	2	0		0
273	1	684201.0	2301.0	613345.0	4301.0	6695.0	272	271	10	271	3	0		0
274	1	719701.0	2099.0	659007.0	4332.0	8665.0	272	213	10	213	3	0		0
275	1	690243.0	2661.0	652223.0	4262.0	8059.0	272	271	10	271	3	0		0
276	1	690337.0	767.0	776246.0	6302.0	8665.0	273	274	10	274	3	0		0
277	1	703690.0	2063.0	784550.0	6302.0	9236.0	275	263	10	263	3	0		0
278	1	622801.0	0.0	845495.0	7089.0	11028.0	253	207	408	207	3	0		0
279	1	639568.0	-6903.0	845481.0	5908.0	11028.0	252	207	411	207	4	0		0
280	1	681169.0	0.0	761993.0	16148.0	22843.0	214	271	477	271	3	0		0
281	1	694499.0	2589.0	783916.0	1681.0	2755.0	275	271	10	271	3	0		0
282	1	688875.0	-10102.0	864754.0	4589.0	7089.0	252	276	411	276	4	0		0
283	1	678208.0	-10116.0	867953.0	5656.0	8271.0	252	259	411	259	4	0		0
284	1	667362.0	-10152.0	861002.0	4510.0	6371.0	252	257	411	257	4	0		0
285	1	660542.0	-9864.0	863976.0	644.0	2039.0	252	216	411	216	4	0		0
286	1	653663.0	-10498.0	866397.0	4618.0	6302.0	252	277	411	277	4	0		0
287	1	651733.0	-10332.0	856184.0	3938.0	5514.0	252	257	411	257	4	0		0
288	1	646209.0	-10376.0	852950.0	2573.0	4294.0	252	257	411	257	4	0		0
289	1	662472.0	-5369.0	323691.0	13391.0	31508.0	204	257	426	257	4	0		0
290	1	641246.0	11506.0	400396.0	7089.0	12603.0	218	257	480	257	4	0		0
291	1	632042.0	9972.0	452554.0	4332.0	12603.0	218	257	480	257	4	0		0
292	1	569253.0	6557.0	607497.0	3725.0	6749.0	278	257	10	257	3	0		0
293	1	587878.0	2877.0	619589.0	4332.0	7585.0	279	257	10	257	3	0		0
294	1	649047.0	6449.0	510237.0	3441.0	6695.0	280	201	492	201	4	0		0
295	1	624372.0	2301.0	539601.0	5908.0	10240.0	281	282	492	282	4	0		0
296	1	733593.0	3835.0	526824.0	9315.0	11959.0	283	282	492	282	4	0		0
297	1	547667.0	2805.0	607497.0	4726.0	10634.0	284	285	478	285	3	0		0
298	1	526154.0	3835.0	693873.0	7123.0	12815.0	284	223	478	223	3	0		0
299	1	632042.0	2301.0	497043.0	6626.0	12209.0	286	219	492	219	4	0		0
300	1	617803.0	0.0	480168.0	9099.0	16224.0	287	219	492	219	4	0		0
301	1	597334.0	0.0	497201.0	10240.0	17750.0	287	203	492	203	4	0		0
302	1	789931.0	36051.0	443350.0	5120.0	7089.0	269	206	269	206	2	0		0
303	1	789728.0	29015.0	408880.0	1110.0	3041.0	288	206	424	206	2	0		0
304	1	794201.0	30801.0	412668.0	3545.0	5514.0	288	206	424	206	2	0		0
305	1	590802.0	4901.0	683927.0	5658.0	7017.0	289	193	10	193	3	0		0
306	1	517994.0	2279.0	660015.0	10634.0	15324.0	290	193	478	193	3	0		0
307	1	546133.0	1451.0	682869.0	5514.0	9452.0	291	203	10	203	3	0		0
308	1	551622.0	241.0	833209.0	10634.0	13391.0	292	293	408	293	4	0		0
309	1	518520.0	-349.0	612099.0	7877.0	12603.0	294	271	478	271	3	0		0
310	1	593344.0	3727.0	597046.0	4610.0	6335.0	230	207	483	207	4	0		0
311	1	579955.0	2949.0	579343.0	5192.0	8097.0	230	207	483	207	4	0		0
312	1	731469.0	4339.0	508703.0	5410.0	6382.0	295	206	492	206	4	0		0
313	1	595404.0	1811.0	520616.0	5620.0	9454.0	295	293	492	292	4	0		0
314	1	600978.0	-1091.0	850840.0	19303.0	19303.0	253	261	408	261	3	0		0
315	1	556260.0	407.0	857444.0	2399.0	3151.0	296	207	408	207	3	0		0
316	1	572465.0	0.0	866050.0	2075.0	2757.0	296	207	408	207	3	0		0
317	1	545355.0	-133.0	900592.0	4510.0	5514.0	296	207	408	207	3	0		0
318	44	0.0	0.0	0.0	0.0	0.0	297	298	10	11	4	0		0
319	189	0.0	0.0	0.0	0.0	0.0	299	300	10	11	4	0		0
320	249	0.0	0.0	0.0	0.0	0.0	301	302	10	11	4	0		0
321	30	0.0	0.0	0.0	0.0	0.0	303	304	10	304	2	0		0
322	37	610565.0	0.0	501645.0	25994.0	39778.0	305	306	10	11	4	0		0
323	489	610565.0	0.0	501645.0	25994.0	39778.0	307	308	10	11	4	0		0
324	489	561214.0	9634.0	562009.0	7661.0	10382.0	307	308	10	11	4	0		0
325	489	561826.0	11254.0	580871.0	7733.0	10634.0	309	310	10	11	3	0		0
326	529	0.0	0.0	0.0	0.0	0.0	311	312	10	11	4	0		0
327	529	580378.0	0.0	580378.0	28357.0	38400.0	313	314	10	11	4	0		0
328	129	610565.0	0.0	501645.0	25994.0	39778.0	315	316	10	11	4	0		0
329	129	576000.0	0.0	537600.0	38400.0	57600.0	317	316	10	11	4	0		0
330	47	0.0	0.0	0.0	0.0	0.0	318	319	10	11	4	0		0
331	47	557760.0	0.0	966720.0	23040.0	28800.0	318	319	10	11	4	0		0
332	47	633600.0	0.0	623232.0	50688.0	64512.0	318	319	10	11	4	0		0
333	289	0.0	0.0	0.0	0.0	0.0	320	321	10	11	4	0		0
334	289	358975.0	0.0	681600.0	19200.0	28800.0	322	323	10	11	4	0		0
335	289	610565.0	-1609.0	610565.0	38597.0	38597.0	324	325	10	11	4	0		0
336	33	753792.0	0.0	604800.0	23902.0	40359.0	326	327	10	11	4	0		0
337	33	543065.0	0.0	616701.0	44898.0	48000.0	328	329	10	11	4	0		0
338	35	0.0	0.0	0.0	0.0	0.0	330	331	10	11	4	0		0
339	35	557760.0	0.0	966720.0	23040.0	28800.0	332	333	10	11	4	0		0
340	35	633600.0	0.0	623232.0	50688.0	64512.0	334	335	10	11	4	0		0
341	329	0.0	0.0	0.0	0.0	0.0	336	337	10	11	4	0		0
342	329	358975.0	0.0	681600.0	19200.0	28800.0	338	339	10	11	4	0		0
343	329	682667.0	-1609.0	1044710.0	59077.0	87040.0	340	341	10	11	4	0		0
344	209	610565.0	0.0	501645.0	25994.0	39778.0	342	343	10	11	4	0		0
345	209	575281.0	0.0	550736.0	19200.0	27569.0	344	345	10	11	4	0		0
346	13	0.0	0.0	0.0	0.0	0.0	346	347	10	11	4	0		0
347	13	614016.0	0.0	999168.0	18432.0	20736.0	348	349	10	11	4	0		0
348	13	715968.0	0.0	985344.0	17280.0	20160.0	350	349	10	11	4	0		0
349	13	736320.0	0.0	806400.0	25920.0	28800.0	351	349	10	11	4	0		0
350	13	566400.0	0.0	976320.0	16320.0	19680.0	352	349	10	11	4	0		0
351	13	683904.0	5760.0	991104.0	10752.0	13056.0	353	349	10	11	4	0		0
352	13	722304.0	0.0	1031808.0	17280.0	21888.0	354	349	10	11	4	0		0
353	13	670080.0	768.0	564480.0	15744.0	17664.0	355	349	10	11	4	0		0
354	13	652800.0	0.0	879744.0	36864.0	40320.0	356	349	10	11	4	0		0
355	13	571584.0	0.0	998400.0	18432.0	21888.0	357	349	10	11	4	0		0
356	13	614400.0	0.0	1094400.0	63744.0	72192.0	358	349	10	11	4	0		0
357	13	652800.0	0.0	998400.0	17664.0	21504.0	359	349	10	11	4	0		0
358	13	633600.0	0.0	998400.0	18432.0	22272.0	359	349	10	11	4	0		0
359	13	676800.0	19008.0	816000.0	19008.0	24768.0	360	349	10	11	4	0		0
360	13	710400.0	9216.0	864000.0	21120.0	24576.0	361	349	10	11	4	0		0
361	13	683520.0	0.0	751872.0	23040.0	61440.0	362	349	10	11	4	0		0
362	13	710400.0	0.0	691200.0	19968.0	23040.0	363	349	10	11	4	0		0
363	13	633600.0	0.0	633600.0	17664.0	19200.0	364	349	10	11	4	0		0
364	13	569856.0	3456.0	622848.0	14592.0	18432.0	365	349	10	11	4	0		0
365	309	0.0	0.0	0.0	0.0	0.0	366	367	10	11	4	0		0
366	309	358975.0	0.0	681600.0	19200.0	28800.0	368	369	10	11	4	0		0
367	309	682667.0	-1609.0	1044710.0	59077.0	87040.0	370	371	10	11	4	0		0
368	309	660910.0	1847.0	1030041.0	4546.0	5586.0	372	371	10	11	4	0		0
369	309	673915.0	479.0	1038939.0	3655.0	4978.0	373	371	10	11	4	0		0
370	309	668872.0	1343.0	1038158.0	1398.0	2615.0	373	371	10	11	4	0		0
371	309	681996.0	2373.0	1042517.0	1863.0	2365.0	374	375	10	11	4	0		0
372	309	681564.0	1941.0	1044738.0	1326.0	1897.0	374	376	10	11	4	0		0
374	530	0.0	0.0	0.0	0.0	0.0	379	380	503	380	2	0		0
377	530	471893.15625	1043.82177734375	622067.75	42304.203125	46230.8984375	384	385	384	11	4	0		0
378	530	885908.9375	5039.94873046875	331733.5	11413.2880859375	15770.162109375	399	383	399	383	4	0		0
379	532	0.0	0.0	0.0	0.0	0.0	386	387	10	11	4	0		0
415	531	0.0	0.0	0.0	479.6041564941406	837.261962890625	394	392	394	392	3	0		0
418	530	293487.0	-326.2685546875	706311.25	65647.0390625	76035.09375	396	491	396	491	3	0		0
439	530	836808.4375	986.5574951171875	321875.0625	4648.1337890625	9623.3212890625	399	383	399	383	3	0		0
443	530	844870.9375	1345.17529296875	394838.53125	67991.8671875	73033.8828125	399	383	399	383	4	0		0
450	530	840546.25	2663.928466796875	386273.28125	15266.3330078125	18638.26953125	433	9	407	11	3	0		0
451	530	436394.6875	-3753.116455078125	735553.1875	21360.484375	27643.5234375	500	9	500	11	3	0		0
453	530	1005894.875	1812.1884765625	682951.0625	6444.525390625	10743.3515625	488	505	488	505	3	0		0
454	530	1070309.125	459.0087890625	798701.5	75390.40625	89410.578125	460	439	502	439	3	0		0
455	530	383337.625	94.24907684326172	510160.9375	57491.6796875	71907.640625	438	9	438	11	3	0		0
458	530	425478.65625	-1658.0985107421875	680243.875	26052.6171875	31068.568359375	435	441	435	441	3	0		0
460	530	382782.4375	823.0626220703125	607303.125	25236.37109375	30991.41796875	432	506	432	506	3	0		0
462	530	341520.78125	1498.885986328125	601310.5	27441.0546875	32466.373046875	432	506	432	506	3	0		0
465	530	844677.875	2820.701171875	317673.46875	4027.412109375	7894.37255859375	399	383	399	383	3	0		0
466	530	860997.375	2519.655029296875	334125.8125	8393.2568359375	14778.421875	399	383	399	383	4	0		0
467	530	856108.6875	36.96076965332031	265578.03125	10322.4326171875	13306.521484375	442	380	442	380	3	0		0
468	530	487940.03125	2158.5224609375	608494.75	4902.1142578125	6667.0458984375	446	518	446	518	3	0		0
469	530	490302.1875	2254.59765625	599578.625	5471.6044921875	7923.32080078125	446	518	446	518	3	0		0
470	530	861560.875	583.9383544921875	272467.59375	6400.01953125	8946.703125	442	380	442	380	3	0		0
471	530	861455.75	579.879638671875	255719.703125	5059.7021484375	6946.4521484375	442	380	442	380	3	0		0
472	530	900592.3125	5967.650390625	367471.5	15745.0068359375	25241.220703125	448	383	448	383	3	0		0
474	530	849266.0	3509.3427734375	386174.09375	6610.6923828125	6610.6923828125	433	9	407	11	3	0		0
493	543	0.0	0.0	0.0	45.26771545410156	95.8054428100586	384	385	384	11	3	0		0
496	530	1032329.375	418.64013671875	664830.1875	47304.96484375	59722.97265625	487	505	488	486	3	0		0
